Unnamed: 0,Author,Title,HD_D,Average_TFIDF,AuthorRus,Rating,Emotional,Length,AvgWordLength,AvgSentenceLength,LongWordRatio,LexicalDiversity,SentimentScore,VerbRatio,AdjRatio,QuotesCount,NegationCount,ExclamationCount,AbstractNounRatio
64,Chekhov,Вишнёвый сад,0.906440699366003,0.0001644946878847,Чехов,4.173,0.1936720997123681,86929,5.318,4.997,0.182,0.352,,,0.0927,70,369,307,0.0088
65,Chekhov,Водевиль,0.8945491075148705,0.0001659266458876,Чехов,3.961,0.2716763005780346,6799,5.445,5.286,0.2,0.662,,,0.0886,12,26,36,0.0076
66,Chekhov,Володя,0.8737349998236729,0.0001537259804491,Чехов,4.242,0.2286501377410468,23420,5.336,8.987,0.198,0.516,,,0.1108,40,95,59,0.007
67,Chekhov,Восклицательный знак,0.8854557625822294,0.0001447709823027,Чехов,4.07,0.1935483870967742,8333,5.751,6.376,0.237,0.62,,,0.1224,43,30,34,0.0181
68,Chekhov,Враги,0.8911246961529552,0.0001846786021874,Чехов,4.473,0.3796791443850268,25317,5.603,9.255,0.217,0.552,,,0.1346,2,118,101,0.0138
69,Chekhov,Встреча весны,0.903453215941538,0.0002184685810079,Чехов,4.038,0.1518987341772152,5870,5.861,9.738,0.239,0.806,,,0.1458,6,29,5,0.0206
70,Chekhov,Выигрышный билет,0.8857020478052252,0.0001827367046516,Чехов,4.3,0.2635658914728682,8572,5.236,9.28,0.168,0.621,,,0.0955,10,38,25,0.0098
71,Chekhov,Глупый француз,0.8900739974028946,0.000149313194261,Чехов,4.083,0.3106060606060606,5822,5.243,5.824,0.16,0.635,,,0.0911,18,31,43,0.0036
72,Chekhov,Горе,0.8978033032793382,0.0001669282137595,Чехов,4.354,0.3990147783251232,9806,5.283,6.668,0.176,0.605,,,0.0924,24,57,65,0.01
73,Chekhov,Гость,0.8996004356205105,0.0001673112795626,Чехов,4.106,0.2407407407407407,7203,5.677,5.685,0.244,0.693,,,0.1141,16,30,29,0.0115
74,Chekhov,Грешник из Толедо,0.8781306762008337,0.0001265726607617,Чехов,4.085,0.2307692307692308,10660,5.469,8.912,0.22,0.589,,,0.1325,10,46,36,0.0172
75,Chekhov,Гриша,0.8685122433894796,0.0001286976932004,Чехов,4.159,0.2022471910112359,5586,5.373,8.856,0.174,0.679,,,0.1054,2,16,15,0.01
76,Chekhov,Гусев,0.8971261636316961,0.0002133416934982,Чехов,3.857,0.1752577319587628,23799,5.36,8.522,0.17,0.547,,,0.1028,20,116,36,0.0084
77,Chekhov,Дама с собачкой,0.8612885444726954,0.0001858579088927,Чехов,4.12,0.174757281553398,30964,5.299,14.178,0.199,0.477,,,0.1158,36,122,28,0.011
78,Chekhov,Дачники,0.8941044640519858,0.0001528693656184,Чехов,4.144,0.375,3229,5.543,6.906,0.21,0.803,,,0.1041,0,7,25,0.0113
79,Chekhov,Дачница,0.8958555971928062,0.0001707667698151,Чехов,4.075,0.2131147540983606,4677,5.789,9.828,0.238,0.76,,,0.1334,14,17,8,0.008
80,Chekhov,Два скандала,0.8596625614276621,0.0001740792188024,Чехов,4.088,0.3285714285714285,19513,5.414,7.884,0.213,0.544,,,0.1201,29,80,96,0.0083
81,Chekhov,Двадцать девятое июня,0.8799074771634535,0.0001612951231178,Чехов,3.882,0.3164179104477612,12655,5.611,4.991,0.233,0.607,,,0.0961,4,75,91,0.0036
82,Chekhov,День за городом,0.8960051539137424,0.0001540311413719,Чехов,4.274,0.1674641148325359,10898,5.495,7.204,0.199,0.657,,,0.1072,4,44,27,0.0072
83,Chekhov,Детвора,0.8930507564476906,0.0001680168252878,Чехов,4.176,0.2751322751322751,9328,5.541,6.774,0.211,0.638,,,0.0855,2,47,46,0.0109
84,Chekhov,Дипломат,0.8619872389719483,0.0001506944177119,Чехов,4.315,0.35,7268,5.083,4.644,0.19,0.596,,,0.0718,2,59,63,0.0078
85,Chekhov,Добрый знакомый,0.8732756874563871,0.0001442128296548,Чехов,4.25,0.4406779661016949,2371,5.311,5.61,0.169,0.773,,,0.136,10,6,19,0.0242
86,Chekhov,Дом с мезонином,0.878243277994473,0.0002306450869314,Чехов,4.431,0.142433234421365,34618,5.434,14.324,0.21,0.482,,,0.1251,22,130,21,0.0121
87,Chekhov,Дома,0.8835688178189843,0.0002121809796878,Чехов,4.431,0.2145748987854251,17625,5.519,9.321,0.214,0.576,,,0.1096,30,79,43,0.0107
88,Chekhov,Дополнительные вопросы,0.8346718731599092,8.432538043195761e-05,Чехов,3.15,0.0,610,5.369,3.231,0.155,0.81,,,0.1071,0,4,0,0.0119
89,Chekhov,Дорогая собака,0.8680526314729003,0.0001065013560672,Чехов,3.539,0.3851851851851852,4263,5.027,4.607,0.151,0.65,,,0.0981,0,35,44,0.008
90,Chekhov,Дорогие уроки,0.8677364974292419,0.0001610246865445,Чехов,4.134,0.1583333333333333,12051,5.495,13.756,0.221,0.586,,,0.1107,12,46,12,0.0107
91,Chekhov,Дочь Альбиона,0.894001755495549,0.0001317364660175,Чехов,3.755,0.3924731182795699,6537,5.268,4.968,0.149,0.66,,,0.0836,0,30,55,0.0054
92,Chekhov,Драма на охоте,0.8902968502457866,0.0002842664429617,Чехов,4.425,0.2360701267141121,340510,5.487,8.141,0.218,0.308,,,0.1269,409,1632,925,0.014
93,Chekhov,Душечка,0.8652727898923518,0.0001888224221012,Чехов,4.132,0.2817460317460317,23473,5.361,13.213,0.205,0.527,,,0.1068,30,70,54,0.0075
94,Chekhov,Дуэль,0.8868643116218982,0.000223355424072,Чехов,4.431,0.2218481107369996,194316,5.532,9.831,0.224,0.336,,,0.1098,206,722,382,0.011
95,Chekhov,Злоумышленник,0.8866375172842634,0.0001335567823727,Чехов,4.0,0.2405063291139241,6681,5.127,6.089,0.158,0.614,,,0.0904,2,35,28,0.0166
96,Chekhov,Ионыч,0.8756597668207282,0.0002017372910981,Чехов,4.021,0.1327683615819209,33625,5.485,12.803,0.222,0.475,,,0.106,54,128,36,0.0084
97,Chekhov,Каштанка,0.8789619068027411,0.0001980192879922,Чехов,4.272,0.2387706855791962,37612,5.505,12.044,0.216,0.47,,,0.0987,26,112,91,0.0066
98,Chekhov,Крыжовник,0.8864219879539712,0.0002260679275582,Чехов,4.047,0.1692307692307692,19765,5.327,14.439,0.179,0.561,,,0.1212,16,76,15,0.0117
99,Chekhov,Лошадиная фамилия,0.8908685158880526,0.0001580067281609,Чехов,4.272,0.2388888888888889,6198,5.673,4.5,0.231,0.68,,,0.1025,0,44,38,0.0037
100,Chekhov,Налим,0.8986941726448605,0.0001610574767993,Чехов,3.857,0.3562231759656652,8413,5.325,5.039,0.17,0.641,,,0.0716,4,35,80,0.0077
101,Chekhov,О любви,0.8593770183673579,0.0002101514611337,Чехов,4.216,0.0839160839160839,18241,5.337,18.252,0.201,0.523,,,0.128,6,65,3,0.0096
102,Chekhov,Палата №6,0.8879452290372889,0.000243340077991,Чехов,4.386,0.2478920741989882,102804,5.65,11.832,0.23,0.41,,,0.1187,59,441,168,0.0174
103,Chekhov,Пересолил,0.8889823820379797,0.0001415447311717,Чехов,4.201,0.2514285714285714,7167,5.322,5.55,0.2,0.65,,,0.0881,10,37,33,0.009
104,Chekhov,Смерть чиновника,0.8699943413567872,0.0001313074453385,Чехов,4.117,0.3020833333333333,4602,5.702,6.07,0.278,0.664,,,0.0725,16,32,28,0.0115
105,Chekhov,Толстый и тонкий,0.8894791037161495,0.0001402197198787,Чехов,4.061,0.3571428571428571,3514,5.608,5.151,0.238,0.712,,,0.1444,3,3,25,0.0063
106,Chekhov,Тоска,0.898301866918505,0.0001521615007838,Чехов,4.667,0.2557077625570776,9384,5.367,5.896,0.184,0.648,,,0.1077,8,37,41,0.0046
107,Chekhov,Три сестры,0.8976796931181716,0.0001727501047094,Чехов,4.173,0.214811942613416,107535,5.275,5.082,0.167,0.314,,,0.1033,54,528,386,0.0076
108,Chekhov,Хамелеон,0.8881247114941851,0.0001504604973973,Чехов,4.193,0.3098591549295774,5830,5.402,5.051,0.203,0.675,,,0.1178,5,33,42,0.0163
109,Chekhov,Хирургия,0.8975543122680559,0.0001824060153033,Чехов,4.003,0.48,6144,5.46,9.793,0.212,0.689,,,0.1021,6,35,34,0.0106
110,Chekhov,Человек в футляре,0.8798775286679809,0.0001973141436129,Чехов,4.232,0.2423076923076923,25113,5.355,13.544,0.208,0.507,,,0.118,16,111,38,0.0133
111,Dostoevsky,Ёлка и свадьба,0.8927309470382886,0.000151763737748,Достоевский,4.17,0.0967741935483871,15532,5.784,10.905,0.257,0.556,,,0.1369,2,48,15,0.0082
112,Dostoevsky,Бедные люди,0.8707021279525362,0.0002201017243416,Достоевский,4.002,0.2968377088305489,254072,5.184,11.639,0.188,0.251,,,0.1195,197,1208,712,0.0097
113,Dostoevsky,Белые ночи,0.8547093868811787,0.0001848617098645,Достоевский,4.223,0.3488168273444347,101961,5.117,12.882,0.183,0.288,,,0.1126,90,615,365,0.008
114,Dostoevsky,Бесы,0.8975185412274552,0.0002859229907908,Достоевский,4.436,0.1787347300894015,1300178,5.524,11.537,0.232,0.178,,,0.1191,1906,5719,1864,0.0111
115,Dostoevsky,Бобок,0.8946606722328941,0.0002555843058247,Достоевский,4.332,0.2716297786720322,30227,5.547,7.679,0.233,0.483,,,0.1233,44,156,109,0.0098
116,Dostoevsky,Братья Карамазовы,0.888170219231989,0.0002686624696874,Достоевский,4.525,0.2077072472656648,1846193,5.326,12.902,0.204,0.149,,,0.1159,3774,8222,3106,0.0107
117,Dostoevsky,Вечный муж,0.8787589006380324,0.000182831811664,Достоевский,4.533,0.2347737325620959,275512,5.455,12.663,0.23,0.256,,,0.1058,611,1173,614,0.0102
118,Dostoevsky,Господин Прохарчин,0.8944976736628134,0.0002430844207507,Достоевский,3.897,0.237037037037037,65535,5.679,21.178,0.25,0.426,,,0.1317,56,250,77,0.0092
119,Dostoevsky,Два самоубийства,0.8966766209216757,0.0002004189145044,Достоевский,3.889,0.16,6566,5.579,17.192,0.225,0.663,,,0.1659,25,33,7,0.0179
120,Dostoevsky,Двойник,0.8952736036419942,0.000172123009984,Достоевский,3.704,0.1821638437608019,321812,5.73,14.841,0.277,0.237,,,0.1341,420,1191,497,0.0101
121,Dostoevsky,Дневник писателя,0.8962954253921025,0.0003299227289325,Достоевский,4.354,0.1358384623690746,1315224,5.75,18.287,0.255,0.192,,,0.164,4579,5533,663,0.0215
122,Dostoevsky,Домовой,0.8685805924921762,0.0001692144022355,Достоевский,2.625,0.1466666666666666,5570,5.145,10.827,0.174,0.635,,,0.1158,0,21,4,0.0025
123,Dostoevsky,Дядюшкин сон,0.891144959603488,0.0002210020768547,Достоевский,4.315,0.3780652115332794,269204,5.427,9.719,0.223,0.269,,,0.1195,146,1036,1313,0.0102
124,Dostoevsky,Записки из подполья,0.8803160636802884,0.0002895298634375,Достоевский,4.303,0.2251440922190201,244923,5.448,11.748,0.216,0.293,,,0.1248,629,1196,350,0.0138
125,Dostoevsky,Игрок,0.8800927303513101,0.0002525319185798,Достоевский,4.278,0.2184648416532474,282627,5.356,10.21,0.202,0.25,,,0.102,308,1198,690,0.0122
126,Dostoevsky,Идиот,0.8860232039149161,0.0002448687543317,Достоевский,4.439,0.2240581155188377,1307580,5.449,12.686,0.223,0.153,,,0.1119,2076,6148,2720,0.0106
127,Dostoevsky,Короткая,0.8487081569198602,0.000212106881953,Достоевский,-1.0,0.2259767687434002,80155,5.141,11.771,0.173,0.338,,,0.102,189,421,169,0.0116
128,Dostoevsky,Крокодил,0.8962164146419239,0.0002496120718355,Достоевский,3.832,0.2030338389731621,71363,5.79,10.709,0.265,0.43,,,0.125,78,266,137,0.0127
129,Dostoevsky,Маленький герой,0.8770550182257079,0.0002555834636857,Достоевский,4.038,0.1371794871794872,76671,5.439,15.938,0.216,0.41,,,0.1554,24,318,59,0.0112
130,Dostoevsky,Мальчик у Христа на ёлке,0.8547207542288814,0.000178695293694,Достоевский,4.418,0.2708333333333333,10908,5.089,16.1,0.159,0.54,,,0.1112,20,37,21,0.0075
131,Dostoevsky,Неточка Незванова,0.8648236206583446,0.0002385031853015,Достоевский,4.223,0.2308635917566241,342027,5.388,11.838,0.21,0.235,,,0.1206,81,1358,563,0.0123
132,Dostoevsky,Петербургские сновидения в стихах и в прозе,0.8918940696965744,0.0002858178405354,Достоевский,3.481,0.1666666666666666,47952,5.692,12.292,0.245,0.498,,,0.1432,86,181,63,0.0159
133,Dostoevsky,Подросток,0.8708339955063962,0.0002575877463036,Достоевский,4.179,0.1990936780328356,1246059,5.266,11.911,0.198,0.16,,,0.1144,2242,5677,1875,0.0103
134,Dostoevsky,Ползунков,0.8970347413155919,0.0002343092610012,Достоевский,3.483,0.4919354838709678,28735,5.311,9.561,0.198,0.484,,,0.1117,90,99,212,0.0095
135,Dostoevsky,Роман в девяти письмах,0.8755279665815289,0.0002186055251459,Достоевский,3.792,0.246031746031746,24147,5.725,12.909,0.256,0.511,,,0.1544,4,108,25,0.0083
136,Dostoevsky,Село Степанчиково и его обитатели,0.8907130846879951,0.0002464009314006,Достоевский,4.325,0.3108375132998936,429077,5.464,8.772,0.221,0.243,,,0.1104,411,1786,1845,0.0102
137,Dostoevsky,Скверный анекдот,0.8900696123160221,0.0002269627902504,Достоевский,4.196,0.1557195571955719,106389,5.646,10.414,0.244,0.366,,,0.1209,154,367,146,0.0136
138,Dostoevsky,Слабое сердце,0.870175617663404,0.0001332503593978,Достоевский,3.954,0.3225589225589225,84123,5.191,7.84,0.182,0.317,,,0.088,84,417,459,0.0076
139,Dostoevsky,Сон смешного человека,0.8304420801582358,0.0001951807464027,Достоевский,4.268,0.2040816326530612,44609,5.069,15.406,0.169,0.368,,,0.1289,40,234,39,0.0146
140,Dostoevsky,Униженные и оскорблённые,0.8632340996470683,0.0002206680295204,Достоевский,4.441,0.2165858389912706,727403,5.183,9.97,0.185,0.171,,,0.1032,437,3286,1570,0.009
