Book ID,Size,Views,Likes,Rating,total_words,readability_flesch,readability_fog,pronoun_ratio,adverb_adj_ratio,slang_ratio,metaphor_pair_count,metaphor_pair_ratio,epithet_density,alliteration_ratio,sarcasm_marker_count,sarcasm_marker_ratio,tonal_ambiguity_score,sarcasm_markers,first_person_count,second_person_count,third_person_count,total_personal_pronouns,first_person_ratio,second_person_ratio,third_person_ratio,dialog_total_words,dialog_words,dialog_ratio
140403,22166,2194,72,0.0328167730173199,3291,61.73641872983558,17.594948556937663,0.0,0.6932515337423313,,0,0.0,0.0,0.06263301915475829,0,0.0,0.0,,45,42,128,215,0.20930232558139536,0.19534883720930232,0.5953488372093023,3290,8,0.0024316109422492403
187926,24612,1711,57,0.0333138515488018,3619,52.638399436981274,20.137089520509782,0.0,0.3915547024952015,,0,0.0,0.0,0.05841638981173865,0,0.0,0.0,,9,12,115,136,0.0661764705882353,0.08823529411764706,0.8455882352941176,3617,5,0.0013823610727121925
53392,20170,3304,20,0.0060532687651331,3234,60.40038426865857,18.675813084776667,0.0,0.5425790754257908,,0,0.0,0.0,0.04392205381998144,2,0.6184291898577613,0.0,ах да;ну конечно,161,24,137,322,0.5,0.07453416149068323,0.4254658385093168,3234,694,0.21459492888064316
122350,20196,1801,18,0.0099944475291504,3095,55.463989703280134,19.055402338683844,0.0,0.783625730994152,,0,0.0,0.0,0.05690268347882315,1,0.32310177705977383,0.0,смешно,47,13,105,165,0.28484848484848485,0.07878787878787878,0.6363636363636364,3094,652,0.21073044602456367
201687,46073,1357,5,0.0036845983787767,7068,60.23332209345759,18.348800148756908,0.0,0.6513353115727003,,0,0.0,0.0,0.04803740966416324,0,0.0,0.0,,353,96,182,631,0.5594294770206022,0.15213946117274169,0.2884310618066561,7058,3904,0.5531311986398413
209557,41162,1090,3,0.0027522935779816,6289,50.646801236204396,20.784664611679514,0.0,0.6458658346333853,,0,0.0,0.0,0.05045360496578068,0,0.0,0.0,,55,46,253,354,0.1553672316384181,0.12994350282485875,0.7146892655367232,6288,5,0.0007951653944020356
12617,20029,2098,1,0.0004766444232602,3095,60.54771350242595,18.04320671110936,0.0,0.489010989010989,,0,0.0,0.0,0.041693600517129926,0,0.0,0.0,,13,62,138,213,0.06103286384976526,0.29107981220657275,0.647887323943662,3095,842,0.27205169628432957
284462,39892,1294,24,0.0185471406491499,5727,46.40534537695592,21.654249786628736,0.0,0.6726296958855098,,0,0.0,0.0,0.05316544246239944,0,0.0,0.0,,62,47,133,242,0.256198347107438,0.19421487603305784,0.5495867768595041,5720,2153,0.3763986013986014
331929,92114,1042,4,0.0038387715930902,14111,57.418682418943376,18.92562459297928,0.0,0.544044665012407,,0,0.0,0.0,0.04858989841585565,1,0.07086669973779322,0.0,смешно,69,55,385,509,0.13555992141453832,0.10805500982318271,0.756385068762279,14104,2322,0.16463414634146342
210830,56733,2390,56,0.0234309623430962,8623,51.35530303226494,20.718286485931852,0.0,0.4346076458752515,,0,0.0,0.0,0.049500348594004186,0,0.0,0.0,,52,66,369,487,0.10677618069815195,0.13552361396303902,0.757700205338809,8607,202,0.023469269199488788
