Author,Title,Value,Length,Rating
Герцен,Трагедия за стаканом грога,0.1171875,14312,3.708
Лермонтов,Ашик-Кериб,0.07964601769911504,15464,3.817
Лермонтов,Герой нашего времени,0.1776536312849162,281815,4.319
Лермонтов,Штосс,0.21021021021021025,26063,4.049
Пушкин,Арап Петра Великого,0.08028169014084507,61810,4.317
Пушкин,Дубровский,0.08774373259052924,136337,4.226
Пушкин,Египетские ночи,0.08273381294964029,22339,4.051
Пушкин,История Пугачёва,0.04068441064638783,264917,3.965
Пушкин,История села Горюхина,0.04946996466431095,30950,3.728
Пушкин,Капитанская дочка,0.14616810877626701,211888,4.163
Пушкин,Кирджали,0.0986842105263158,11413,3.465
Пушкин,Пиковая дама,0.14589235127478753,46773,4.24
Пушкин,Повести Белкина,0.09782608695652174,124375,4.389
Пушкин,Рославлев,0.15849056603773584,21420,3.808
Толстой,Алёша горшок,0.06578947368421052,10341,4.055
Толстой,Альберт,0.15405777166437415,50918,3.77
Толстой,Анна Каренина,0.12603150787696926,1778358,4.327
Толстой,Божеское и человеческое,0.14543114543114544,68161,3.881
Толстой,Война и мир. Том 1,0.11256876851460007,825013,4.322
Толстой,Война и мир. Том 2,0.0873259174914601,855571,4.322
Толстой,Война и мир. Том 3,0.10355550948481393,920929,4.298
Толстой,Война и мир. Том 4,0.07472231571861326,900279,4.322
Толстой,Воскресение,0.09138272376784412,911515,4.312
Толстой,Два гусара,0.16997943797121315,110940,4.099
Толстой,Декабристы,0.08842897460018814,98385,3.628
Толстой,Дьявол,0.09235936188077246,86800,4.12
Толстой,Записки маркера,0.15294117647058825,29923,3.885
Толстой,Из записок князя Д. Нехлюдова (Люцерн),0.1161137440758294,50013,3.974
Толстой,Кавказский пленник,0.09876543209876544,41000,4.194
Толстой,Казаки,0.1572407883461868,289853,4.089
Толстой,Корней Васильев,0.09343936381709743,31816,4.167
Толстой,Крейцерова соната,0.18013734812466986,155398,4.006
Толстой,Метель,0.18425196850393705,54273,3.885
Толстой,Набег,0.0949367088607595,47524,3.804
Толстой,Отец Сергий,0.10684474123539232,82925,4.285
Толстой,Отрочество,0.1799844840961986,147250,3.994
Толстой,Поликуша,0.12327773749093544,106366,4.322
Толстой,После бала,0.055,18834,3.944
Толстой,Праведный судья,0.013157894736842105,4891,4.125
Толстой,Работник Емельян и пустой барабан,0.044715447154471545,13423,3.833
Толстой,Разжалованный,0.15833333333333333,49915,4.247
Толстой,Рубка леса,0.13875,69084,3.721
Толстой,Севастополь в августе 1855 года,0.2016871165644172,120473,3.983
Толстой,Севастополь в декабре месяце,0.06719367588932806,30917,3.896
Толстой,Севастополь в мае,0.1329479768786127,85974,3.983
Толстой,Семейное счастье,0.15605976757055895,165129,3.994
Толстой,Смерть Ивана Ильича,0.14925373134328354,109000,4.42
Толстой,Три смерти,0.13274336283185842,23645,3.731
Толстой,Утро пемещика,0.14770642201834866,98924,3.998
Толстой,Хаджи-Мурат,0.06646294881588999,231144,4.071
Толстой,Хозяин и работник,0.11988847583643122,97008,4.301
Толстой,Холстомер,0.09495896834701056,72506,4.187
Толстой,Юность,0.11911231884057973,312553,3.994
Толстой,Ягоды,0.12550607287449392,22073,3.5
Тургенев,Ася,0.11270296084049665,86784,4.248
Тургенев,Вешние воды,0.21069073238458869,252827,4.29
Тургенев,Дворянское гнездо,0.11386623164763457,304989,4.235
Тургенев,Дым,0.1917083210820347,324062,4.178
Тургенев,Записки охотника,0.17698098762281486,658891,3.923
Тургенев,Муму,0.12607944732297066,53532,3.904
Тургенев,Отцы и дети,0.13994107744107745,370304,4.276
Тургенев,Стихотворения в прозе,0.303637713437268,103420,4.291
Тургенев,Яков Пасынков,0.14965397923875431,71996,3.946
Rudnev,Время собирать копья,0.15767634854771784,19182,-1.0
Rudnev,"Жги, еретик!",0.3012048192771085,6165,-1.0
Rudnev,Нити,0.09375,6540,-1.0
Rudnev,Новый пес старого дома,0.10660124888492416,164632,-1.0
Rudnev,Обуза,0.10045366169799093,169254,-1.0
Rudnev,Павлин-птица гордая,0.099644128113879,183655,-1.0
Rudnev,Пиромант поневоле,0.25287356321839083,7391,-1.0
Rudnev,Церковный дьявол,0.17280453257790368,25959,-1.0
Rudnev,"Элементально, Вольфгар",0.09863945578231292,33791,-1.0
