Book ID,Size,Views,Likes,Rating,overall_sentiment,total_words_emotional,arc_amplitude,arc_polarity_switches,avg_cosine_similarity,sentence_count,avg_adjacent_similarity,std_adjacent_similarity,num_adjacent_pairs
138436,26878,1797,37,0.0205898720089037,neutral,3779,2,0,0.3680605,657,,,0
322584,38042,1073,11,0.0102516309412861,negative,5795,1,0,0.36660764,623,,,0
125879,59692,2229,22,0.0098698968147151,negative,8733,1,0,0.35485917,979,,,0
294107,34206,1090,13,0.0119266055045871,negative,5448,2,1,0.33919364,559,,,0
216614,39030,1338,23,0.0171898355754858,neutral,5449,2,1,0.3338172,558,,,0
332001,22216,1237,21,0.0169765561843168,skip,3202,2,1,0.30331025,445,,,0
335829,36428,1177,5,0.0042480883602378,positive,5607,1,0,0.32499552,880,,,0
332869,67132,1383,7,0.0050614605929139,neutral,10548,2,0,0.31980968,1234,,,0
8817,36231,3656,9,0.0024617067833698,neutral,5046,1,0,0.35460535,516,,,0
286929,37810,1671,15,0.0089766606822262,neutral,5822,2,0,0.34717402,809,,,0
315511,20460,1864,48,0.0257510729613733,negative,2925,1,0,0.33243486,341,,,0
281972,54851,1341,4,0.0029828486204325,neutral,8161,1,0,0.325819,849,,,0
101746,41604,1948,30,0.015400410677618,neutral,5875,1,0,0.2876507,483,,,0
217446,22221,1399,16,0.0114367405289492,skip,3557,1,0,0.34480053,571,,,0
160441,28248,2281,92,0.0403331871985971,positive,4222,2,0,0.32969004,395,,,0
61755,39593,1965,35,0.0178117048346055,negative,5942,2,2,0.3468876,561,,,0
341494,84003,1006,7,0.0069582504970178,neutral,13158,2,0,0.33662915,1048,,,0
307907,25698,1067,14,0.0131208997188378,negative,3600,2,1,0.3055533,401,,,0
309523,28090,1325,11,0.0083018867924528,skip,4282,1,0,0.3186334,471,,,0
169138,33660,1671,6,0.0035906642728904,neutral,4891,2,0,0.31760806,593,,,0
11252,40609,2303,21,0.0091185410334346,neutral,6045,2,1,0.3666209,567,,,0
18020,40345,2680,44,0.0164179104477611,negative,5696,1,0,0.33920732,517,,,0
325154,48442,1092,11,0.01007326007326,neutral,7003,2,1,0.33381292,802,,,0
206200,38480,2471,43,0.0174018615944961,neutral,5912,1,0,0.2913311,551,,,0
167898,36329,1470,10,0.0068027210884353,positive,5508,2,0,0.3489782,670,,,0
277309,23528,1436,42,0.0292479108635097,neutral,3326,1,0,0.31257543,405,,,0
7961,30424,5433,23,0.0042333885514448,positive,4793,2,2,0.32548738,633,,,0
57299,39017,4763,58,0.0121771992441738,negative,5805,2,2,0.32928005,698,,,0
