Book ID,Size,Views,Likes,Rating
306094,30773,1342,23,0.0171385991058122
328328,28093,1088,17,0.015625
262826,42838,1374,25,0.0181950509461426
197087,25186,1670,49,0.0293413173652694
262888,49492,1405,23,0.0163701067615658
339545,37617,1151,5,0.0043440486533449
303665,58060,1002,15,0.0149700598802395
159465,32334,1725,17,0.0098550724637681
173148,40483,2007,24,0.0119581464872944
163267,91493,2087,7,0.0033540967896502
38597,24702,2568,19,0.0073987538940809
64879,22957,4517,56,0.0123976090325437
173036,42998,2197,95,0.0432407828857533
57614,48532,2657,14,0.0052691004892736
61312,50992,2047,24,0.011724474841231
315534,38475,1371,13,0.0094821298322392
127434,52430,2650,64,0.0241509433962264
67131,59684,3060,52,0.0169934640522875
202295,23415,1818,22,0.0121012101210121
41833,36756,2201,8,0.0036347114947751
69691,66612,2086,48,0.0230105465004793
62517,47960,3199,106,0.0331353547983744
338366,39584,1059,9,0.0084985835694051
199016,48324,1788,20,0.0111856823266219
138436,26878,1797,37,0.0205898720089037
322584,38042,1073,11,0.0102516309412861
125879,59692,2229,22,0.0098698968147151
294107,34206,1090,13,0.0119266055045871
216614,39030,1338,23,0.0171898355754858
332001,22216,1237,21,0.0169765561843168
335829,36428,1177,5,0.0042480883602378
332869,67132,1383,7,0.0050614605929139
8817,36231,3656,9,0.0024617067833698
286929,37810,1671,15,0.0089766606822262
315511,20460,1864,48,0.0257510729613733
281972,54851,1341,4,0.0029828486204325
101746,41604,1948,30,0.015400410677618
217446,22221,1399,16,0.0114367405289492
160441,28248,2281,92,0.0403331871985971
61755,39593,1965,35,0.0178117048346055
341494,84003,1006,7,0.0069582504970178
307907,25698,1067,14,0.0131208997188378
309523,28090,1325,11,0.0083018867924528
169138,33660,1671,6,0.0035906642728904
11252,40609,2303,21,0.0091185410334346
18020,40345,2680,44,0.0164179104477611
325154,48442,1092,11,0.01007326007326
206200,38480,2471,43,0.0174018615944961
167898,36329,1470,10,0.0068027210884353
277309,23528,1436,42,0.0292479108635097
7961,30424,5433,23,0.0042333885514448
57299,39017,4763,58,0.0121771992441738
49202,168374,2719,2,0.0007355645457888
249425,93885,1271,19,0.014948859166011
45697,27836,2685,4,0.0014897579143389
84737,65415,2328,7,0.0030068728522336
111547,51318,2405,38,0.0158004158004158
163105,90169,1740,17,0.0097701149425287
332208,47368,1007,9,0.0089374379344587
230951,45792,2581,54,0.0209221232080588
341653,24285,1010,10,0.0099009900990099
337393,47029,1111,5,0.0045004500450045
198689,79983,1835,8,0.0043596730245231
239734,23228,1484,20,0.013477088948787
262530,54386,1879,8,0.0042575838211814
108951,43827,2314,18,0.0077787381158167
184622,32535,1633,19,0.0116350275566442
136703,48574,1915,27,0.0140992167101827
101778,21708,1967,7,0.0035587188612099
