,Author,Title,HD_D,Average_TFIDF,AuthorRus,Rating,Value,Length
69,Chekhov,Встреча весны,0.903453215941538,0.0002184685810079,Чехов,4.038,0.1518987341772152,5870
70,Chekhov,Выигрышный билет,0.8857020478052252,0.0001827367046516,Чехов,4.3,0.2635658914728682,8572
71,Chekhov,Глупый француз,0.8900739974028946,0.000149313194261,Чехов,4.083,0.3106060606060606,5822
72,Chekhov,Горе,0.8978033032793382,0.0001669282137595,Чехов,4.354,0.3990147783251232,9806
73,Chekhov,Гость,0.8996004356205105,0.0001673112795626,Чехов,4.106,0.2407407407407407,7203
74,Chekhov,Грешник из Толедо,0.8781306762008337,0.0001265726607617,Чехов,4.085,0.2307692307692308,10660
75,Chekhov,Гриша,0.8685122433894796,0.0001286976932004,Чехов,4.159,0.2022471910112359,5586
76,Chekhov,Гусев,0.8971261636316961,0.0002133416934982,Чехов,3.857,0.1752577319587628,23799
77,Chekhov,Дама с собачкой,0.8612885444726954,0.0001858579088927,Чехов,4.12,0.174757281553398,30964
78,Chekhov,Дачники,0.8941044640519858,0.0001528693656184,Чехов,4.144,0.375,3229
79,Chekhov,Дачница,0.8958555971928062,0.0001707667698151,Чехов,4.075,0.2131147540983606,4677
80,Chekhov,Два скандала,0.8596625614276621,0.0001740792188024,Чехов,4.088,0.3285714285714285,19513
81,Chekhov,Двадцать девятое июня,0.8799074771634535,0.0001612951231178,Чехов,3.882,0.3164179104477612,12655
82,Chekhov,День за городом,0.8960051539137424,0.0001540311413719,Чехов,4.274,0.1674641148325359,10898
83,Chekhov,Детвора,0.8930507564476906,0.0001680168252878,Чехов,4.176,0.2751322751322751,9328
84,Chekhov,Дипломат,0.8619872389719483,0.0001506944177119,Чехов,4.315,0.35,7268
85,Chekhov,Добрый знакомый,0.8732756874563871,0.0001442128296548,Чехов,4.25,0.4406779661016949,2371
86,Chekhov,Дом с мезонином,0.878243277994473,0.0002306450869314,Чехов,4.431,0.142433234421365,34618
87,Chekhov,Дома,0.8835688178189843,0.0002121809796878,Чехов,4.431,0.2145748987854251,17625
88,Chekhov,Дополнительные вопросы,0.8346718731599092,8.432538043195761e-05,Чехов,3.15,0.0,610
89,Chekhov,Дорогая собака,0.8680526314729003,0.0001065013560672,Чехов,3.539,0.3851851851851852,4263
90,Chekhov,Дорогие уроки,0.8677364974292419,0.0001610246865445,Чехов,4.134,0.1583333333333333,12051
91,Chekhov,Дочь Альбиона,0.894001755495549,0.0001317364660175,Чехов,3.755,0.3924731182795699,6537
92,Chekhov,Драма на охоте,0.8902968502457866,0.0002842664429617,Чехов,4.425,0.2360701267141121,340510
93,Chekhov,Душечка,0.8652727898923518,0.0001888224221012,Чехов,4.132,0.2817460317460317,23473
94,Chekhov,Дуэль,0.8868643116218982,0.000223355424072,Чехов,4.431,0.2218481107369996,194316
95,Chekhov,Злоумышленник,0.8866375172842634,0.0001335567823727,Чехов,4.0,0.2405063291139241,6681
96,Chekhov,Ионыч,0.8756597668207282,0.0002017372910981,Чехов,4.021,0.1327683615819209,33625
97,Chekhov,Каштанка,0.8789619068027411,0.0001980192879922,Чехов,4.272,0.2387706855791962,37612
98,Chekhov,Крыжовник,0.8864219879539712,0.0002260679275582,Чехов,4.047,0.1692307692307692,19765
99,Chekhov,Лошадиная фамилия,0.8908685158880526,0.0001580067281609,Чехов,4.272,0.2388888888888889,6198
100,Chekhov,Налим,0.8986941726448605,0.0001610574767993,Чехов,3.857,0.3562231759656652,8413
101,Chekhov,О любви,0.8593770183673579,0.0002101514611337,Чехов,4.216,0.0839160839160839,18241
102,Chekhov,Палата №6,0.8879452290372889,0.000243340077991,Чехов,4.386,0.2478920741989882,102804
103,Chekhov,Пересолил,0.8889823820379797,0.0001415447311717,Чехов,4.201,0.2514285714285714,7167
104,Chekhov,Смерть чиновника,0.8699943413567872,0.0001313074453385,Чехов,4.117,0.3020833333333333,4602
105,Chekhov,Толстый и тонкий,0.8894791037161495,0.0001402197198787,Чехов,4.061,0.3571428571428571,3514
106,Chekhov,Тоска,0.898301866918505,0.0001521615007838,Чехов,4.667,0.2557077625570776,9384
107,Chekhov,Три сестры,0.8976796931181716,0.0001727501047094,Чехов,4.173,0.214811942613416,107535
108,Chekhov,Хамелеон,0.8881247114941851,0.0001504604973973,Чехов,4.193,0.3098591549295774,5830
109,Chekhov,Хирургия,0.8975543122680559,0.0001824060153033,Чехов,4.003,0.48,6144
110,Chekhov,Человек в футляре,0.8798775286679809,0.0001973141436129,Чехов,4.232,0.2423076923076923,25113
111,Dostoevsky,Ёлка и свадьба,0.8927309470382886,0.000151763737748,Достоевский,4.17,0.0967741935483871,15532
112,Dostoevsky,Бедные люди,0.8707021279525362,0.0002201017243416,Достоевский,4.002,0.2968377088305489,254072
113,Dostoevsky,Белые ночи,0.8547093868811787,0.0001848617098645,Достоевский,4.223,0.3488168273444347,101961
114,Dostoevsky,Бесы,0.8975185412274552,0.0002859229907908,Достоевский,4.436,0.1787347300894015,1300178
115,Dostoevsky,Бобок,0.8946606722328941,0.0002555843058247,Достоевский,4.332,0.2716297786720322,30227
116,Dostoevsky,Братья Карамазовы,0.888170219231989,0.0002686624696874,Достоевский,4.525,0.2077072472656648,1846193
117,Dostoevsky,Вечный муж,0.8787589006380324,0.000182831811664,Достоевский,4.533,0.2347737325620959,275512
118,Dostoevsky,Господин Прохарчин,0.8944976736628134,0.0002430844207507,Достоевский,3.897,0.237037037037037,65535
119,Dostoevsky,Два самоубийства,0.8966766209216757,0.0002004189145044,Достоевский,3.889,0.16,6566
120,Dostoevsky,Двойник,0.8952736036419942,0.000172123009984,Достоевский,3.704,0.1821638437608019,321812
121,Dostoevsky,Дневник писателя,0.8962954253921025,0.0003299227289325,Достоевский,4.354,0.1358384623690746,1315224
122,Dostoevsky,Домовой,0.8685805924921762,0.0001692144022355,Достоевский,2.625,0.1466666666666666,5570
123,Dostoevsky,Дядюшкин сон,0.891144959603488,0.0002210020768547,Достоевский,4.315,0.3780652115332794,269204
124,Dostoevsky,Записки из подполья,0.8803160636802884,0.0002895298634375,Достоевский,4.303,0.2251440922190201,244923
125,Dostoevsky,Игрок,0.8800927303513101,0.0002525319185798,Достоевский,4.278,0.2184648416532474,282627
126,Dostoevsky,Идиот,0.8860232039149161,0.0002448687543317,Достоевский,4.439,0.2240581155188377,1307580
127,Dostoevsky,Короткая,0.8487081569198602,0.000212106881953,Достоевский,-1.0,0.2259767687434002,80155
128,Dostoevsky,Крокодил,0.8962164146419239,0.0002496120718355,Достоевский,3.832,0.2030338389731621,71363
129,Dostoevsky,Маленький герой,0.8770550182257079,0.0002555834636857,Достоевский,4.038,0.1371794871794872,76671
130,Dostoevsky,Мальчик у Христа на ёлке,0.8547207542288814,0.000178695293694,Достоевский,4.418,0.2708333333333333,10908
131,Dostoevsky,Неточка Незванова,0.8648236206583446,0.0002385031853015,Достоевский,4.223,0.2308635917566241,342027
132,Dostoevsky,Петербургские сновидения в стихах и в прозе,0.8918940696965744,0.0002858178405354,Достоевский,3.481,0.1666666666666666,47952
133,Dostoevsky,Подросток,0.8708339955063962,0.0002575877463036,Достоевский,4.179,0.1990936780328356,1246059
134,Dostoevsky,Ползунков,0.8970347413155919,0.0002343092610012,Достоевский,3.483,0.4919354838709678,28735
135,Dostoevsky,Роман в девяти письмах,0.8755279665815289,0.0002186055251459,Достоевский,3.792,0.246031746031746,24147
136,Dostoevsky,Село Степанчиково и его обитатели,0.8907130846879951,0.0002464009314006,Достоевский,4.325,0.3108375132998936,429077
137,Dostoevsky,Скверный анекдот,0.8900696123160221,0.0002269627902504,Достоевский,4.196,0.1557195571955719,106389
138,Dostoevsky,Слабое сердце,0.870175617663404,0.0001332503593978,Достоевский,3.954,0.3225589225589225,84123
139,Dostoevsky,Сон смешного человека,0.8304420801582358,0.0001951807464027,Достоевский,4.268,0.2040816326530612,44609
140,Dostoevsky,Униженные и оскорблённые,0.8632340996470683,0.0002206680295204,Достоевский,4.441,0.2165858389912706,727403
141,Dostoevsky,Хозяйка,0.8869932101072037,0.0002091584502679,Достоевский,3.582,0.2300695559122525,152999
142,Dostoevsky,Честный вор,0.8760419851733987,0.0001562569733642,Достоевский,3.857,0.2535460992907801,30631
143,Dostoevsky,Чужая жена и муж под кроватью,0.8752950995765074,0.0001974181619792,Достоевский,3.925,0.4162544169611308,75682
