Author,Title,Value,Length,Normalized_MTTR,Average_TFIDF
Chekhov,Глупый француз,0.3106060606060606,5822,0.9656914405504905,0.00014931319426105604
Chekhov,Горе,0.3990147783251232,9806,0.9668492030847508,0.00016692821375955137
Chekhov,Гость,0.24074074074074076,7203,0.9703453734488879,0.00016731127956264488
Chekhov,Грешник из Толедо,0.2307692307692308,10660,0.9637126977900226,0.0001265726607617677
Chekhov,Гриша,0.20224719101123595,5586,0.966511013617206,0.0001286976932004572
Chekhov,Гусев,0.17525773195876287,23799,0.9679286879377834,0.00021334169349827799
Chekhov,Дама с собачкой,0.17475728155339804,30964,0.9652856762938125,0.0001858579088927122
Chekhov,Дачники,0.375,3229,0.9728491763665842,0.00015286936561849889
Chekhov,Дачница,0.21311475409836064,4677,0.9747396530105339,0.00017076676981516817
Chekhov,Два скандала,0.32857142857142857,19513,0.9658249208446164,0.0001740792188024586
Chekhov,Двадцать девятое июня,0.3164179104477612,12655,0.9675741052868868,0.00016129512311786575
Chekhov,День за городом,0.1674641148325359,10898,0.9701322725299991,0.00015403114137194093
Chekhov,Детвора,0.2751322751322751,9328,0.9674383612191826,0.00016801682528784978
Chekhov,Дипломат,0.35,7268,0.9644001292807423,0.00015069441771195898
Chekhov,Добрый знакомый,0.4406779661016949,2371,0.9700353242531325,0.0001442128296548781
Chekhov,Дом с мезонином,0.142433234421365,34618,0.966102704412345,0.00023064508693148696
Chekhov,Дома,0.2145748987854251,17625,0.9687377029188308,0.00021218097968782258
Chekhov,Дополнительные вопросы,0.0,610,0.9754182813277865,8.432538043195761e-05
Chekhov,Дорогая собака,0.3851851851851852,4263,0.9644083924284463,0.00010650135606721039
Chekhov,Дорогие уроки,0.15833333333333333,12051,0.9661865694625211,0.00016102468654454534
Chekhov,Дочь Альбиона,0.3924731182795699,6537,0.9695282897853518,0.00013173646601758975
Chekhov,Драма на охоте,0.2360701267141121,340510,0.9662602462886382,0.000284266442961721
Chekhov,Душечка,0.2817460317460317,23473,0.966583548950078,0.00018882242210128196
Chekhov,Дуэль,0.2218481107369996,194316,0.9661257058889305,0.00022335542407205482
Chekhov,Злоумышленник,0.2405063291139241,6681,0.9643629551216606,0.0001335567823727762
Chekhov,Ионыч,0.1327683615819209,33625,0.9649711229318079,0.00020173729109818975
Chekhov,Каштанка,0.23877068557919626,37612,0.9659621298625277,0.0001980192879922515
Chekhov,Крыжовник,0.16923076923076924,19765,0.9680321577983523,0.00022606792755827787
Chekhov,Лошадиная фамилия,0.2388888888888889,6198,0.9683744812859248,0.00015800672816097168
Chekhov,Налим,0.3562231759656652,8413,0.9689568151449108,0.00016105747679934346
Chekhov,О любви,0.08391608391608392,18241,0.964618161270686,0.00021015146113372322
Chekhov,Палата №6,0.2478920741989882,102804,0.9673277439028567,0.00024334007799109493
Chekhov,Пересолил,0.25142857142857145,7167,0.9681782713426125,0.00014154473117174607
Chekhov,Смерть чиновника,0.3020833333333333,4602,0.9662368299688155,0.00013130744533854428
Chekhov,Толстый и тонкий,0.35714285714285715,3514,0.9690263996611452,0.0001402197198787141
Chekhov,Тоска,0.2557077625570776,9384,0.9699168856871506,0.0001521615007838311
Chekhov,Три сестры,0.21481194261341605,107535,0.9610276901703318,0.00017275010470949633
Chekhov,Хамелеон,0.30985915492957744,5830,0.9670128095223375,0.00015046049739732634
Chekhov,Хирургия,0.48,6144,0.9705828992051174,0.00018240601530332862
Chekhov,Человек в футляре,0.2423076923076923,25113,0.9664316040558377,0.00019731414361299755
Dostoevsky,Ёлка и свадьба,0.0967741935483871,15532,0.9658510475387001,0.00015176373774803946
Dostoevsky,Бедные люди,0.2968377088305489,254072,0.9635789397015975,0.00022010172434169207
Dostoevsky,Белые ночи,0.3488168273444347,101961,0.9607365933809863,0.00018486170986458785
Dostoevsky,Бесы,0.1787347300894015,1300178,0.9640194658343246,0.0002859229907908456
Dostoevsky,Бобок,0.2716297786720322,30227,0.9671386315296038,0.0002555843058247971
Dostoevsky,Братья Карамазовы,0.20770724726566486,1846193,0.9632166936658945,0.00026866246968749487
Dostoevsky,Вечный муж,0.23477373256209594,275512,0.964228881800959,0.00018283181166401624
Dostoevsky,Господин Прохарчин,0.23703703703703705,65535,0.9686276502194295,0.00024308442075075544
Dostoevsky,Два самоубийства,0.16,6566,0.969414789179847,0.00020041891450446042
Dostoevsky,Двойник,0.18216384376080194,321812,0.9639695705466196,0.00017212300998409126
Dostoevsky,Дневник писателя,0.13583846236907465,1315224,0.9644974627537501,0.00032992272893255745
Dostoevsky,Домовой,0.14666666666666667,5570,0.9666384612324441,0.0001692144022355088
Dostoevsky,Дядюшкин сон,0.3780652115332794,269204,0.9639639367836271,0.00022100207685477987
Dostoevsky,Записки из подполья,0.22514409221902015,244923,0.9660972710584504,0.00028952986343754435
Dostoevsky,Игрок,0.21846484165324745,282627,0.963325948474808,0.0002525319185798562
Dostoevsky,Идиот,0.2240581155188377,1307580,0.9617397917947861,0.0002448687543317839
Dostoevsky,Короткая,0.22597676874340025,80155,0.9614371755548713,0.00021210688195301075
Dostoevsky,Крокодил,0.20303383897316216,71363,0.967678123353646,0.0002496120718355195
Dostoevsky,Маленький герой,0.1371794871794872,76671,0.9670460501485026,0.00025558346368574435
Dostoevsky,Мальчик у Христа на ёлке,0.2708333333333333,10908,0.9639630052032597,0.00017869529369407528
Dostoevsky,Неточка Незванова,0.2308635917566241,342027,0.9616544921861091,0.00023850318530154133
Dostoevsky,Петербургские сновидения в стихах и в прозе,0.16666666666666666,47952,0.9691283105718029,0.00028581784053544165
Dostoevsky,Подросток,0.1990936780328356,1246059,0.9621410355974324,0.000257587746303647
Dostoevsky,Ползунков,0.4919354838709678,28735,0.9675367246173633,0.00023430926100127589
Dostoevsky,Роман в девяти письмах,0.246031746031746,24147,0.964647005502076,0.0002186055251459267
Dostoevsky,Село Степанчиково и его обитатели,0.3108375132998936,429077,0.9645923111511656,0.00024640093140069087
Dostoevsky,Скверный анекдот,0.15571955719557196,106389,0.9664059748034242,0.00022696279025047025
