Book ID,Size,Views,Likes,Rating,overall_sentiment,total_words_emotional,arc_amplitude,arc_polarity_switches,avg_cosine_similarity,sentence_count,avg_adjacent_similarity,std_adjacent_similarity,num_adjacent_pairs
247525,29925,2229,1,0.0004486316733961,skip,5067,1,0,0.36374798,494,,,0
327719,11831,1969,21,0.0106653123412899,neutral,1831,2,2,0.31932727,254,,,0
35788,16427,3730,85,0.0227882037533512,negative,2287,2,2,0.3448842,247,,,0
78369,4676,3399,78,0.0229479258605472,positive,718,2,1,0.31132793,54,,,0
50805,19466,5861,59,0.0100665415458112,neutral,2864,2,0,0.34241328,364,,,0
315978,13349,2078,6,0.0028873917228103,neutral,2124,1,0,0.29412326,270,,,0
62617,76486,3825,85,0.0222222222222222,skip,11955,2,3,0.3317026,1359,,,0
305759,31829,1824,24,0.0131578947368421,negative,4689,2,0,0.33480334,492,,,0
338295,1053,1202,40,0.0332778702163061,negative,188,1,0,0.4352929,9,,,0
346242,4503,1036,17,0.0164092664092664,neutral,698,1,0,0.38553625,48,,,0
329069,14072,1157,29,0.0250648228176318,neutral,1993,2,1,0.31292814,168,,,0
240724,20283,1617,3,0.0018552875695732,neutral,2938,2,0,0.3875789,271,,,0
345494,10072,1155,18,0.0155844155844155,skip,1513,2,0,0.3546567,127,,,0
265367,36069,1760,42,0.0238636363636363,neutral,5678,2,1,0.34288943,717,,,0
349330,23840,1043,6,0.0057526366251198,neutral,3737,2,1,0.33578664,304,,,0
332639,15745,3490,136,0.0389684813753581,negative,2392,2,3,0.34959576,185,,,0
342955,11624,1180,14,0.011864406779661,neutral,1690,2,2,0.38478294,111,,,0
155034,2206,2881,46,0.0159666782367233,neutral,288,1,0,0.29083648,17,,,0
293353,6585,1943,88,0.0452907874420998,neutral,1001,2,1,0.31645337,134,,,0
20618,11825,1693,0,0.0,positive,1924,2,1,0.33180475,257,,,0
334340,37647,1279,25,0.0195465207193119,positive,5525,2,0,0.33555096,547,,,0
284939,14726,2534,73,0.0288082083662194,negative,2233,1,0,0.34018084,182,,,0
330143,10060,1192,28,0.023489932885906,neutral,1490,2,1,0.3153108,153,,,0
228875,8051,2360,29,0.0122881355932203,positive,1140,2,1,0.27706873,121,,,0
243204,8038,1753,8,0.004563605248146,neutral,1167,2,0,0.35042092,170,,,0
182939,79819,1955,63,0.0322250639386189,neutral,12727,1,0,0.32636678,1618,,,0
64264,31726,2950,41,0.0138983050847457,neutral,4638,2,0,0.3556914,365,,,0
37841,60657,4235,16,0.0037780401416765,positive,8467,2,1,0.3502974,754,,,0
