iter	Passed	Remaining
666	8467	4227
667	8476	4213
668	8487	4199
669	8497	4185
670	8508	4171
671	8519	4158
672	8530	4145
673	8542	4131
674	8552	4117
675	8563	4104
676	8573	4090
677	8582	4075
678	8592	4062
679	8602	4048
680	8612	4034
681	8623	4021
682	8635	4007
683	8646	3994
684	8656	3980
685	8667	3967
686	8676	3953
687	8687	3939
688	8697	3925
689	8707	3912
690	8717	3898
691	8727	3884
692	8737	3870
693	8748	3857
694	8758	3843
695	8768	3829
696	8783	3818
697	8798	3806
698	8811	3794
699	8823	3781
700	8835	3768
701	8845	3754
702	8855	3741
703	8866	3727
704	8878	3714
705	8890	3702
706	8902	3689
707	8914	3676
708	8926	3663
709	8938	3650
710	8949	3637
711	8961	3624
712	8973	3612
713	8986	3599
714	8999	3587
715	9012	3574
716	9022	3561
717	9035	3548
718	9048	3536
719	9060	3523
720	9075	3511
721	9089	3499
722	9107	3489
723	9119	3476
724	9131	3463
725	9142	3450
726	9153	3437
727	9164	3423
728	9174	3410
729	9186	3397
730	9197	3384
731	9207	3371
732	9218	3357
733	9230	3345
734	9238	3331
735	9249	3317
736	9260	3304
737	9271	3291
738	9281	3278
739	9292	3264
740	9303	3251
741	9313	3238
742	9324	3225
743	9334	3211
744	9345	3198
745	9354	3185
746	9366	3172
747	9377	3159
748	9389	3146
749	9400	3133
750	9411	3120
751	9423	3107
752	9435	3094
753	9447	3082
754	9459	3069
755	9471	3056
756	9482	3043
757	9492	3030
758	9505	3018
759	9518	3005
760	9531	2993
761	9543	2980
762	9558	2968
763	9573	2957
764	9589	2945
765	9600	2932
766	9612	2920
767	9624	2907
768	9634	2894
769	9646	2881
770	9657	2868
771	9669	2855
772	9681	2842
773	9693	2830
774	9702	2816
775	9714	2804
776	9726	2791
777	9738	2778
778	9752	2766
779	9764	2754
780	9776	2741
781	9789	2729
782	9804	2717
783	9819	2705
784	9831	2692
785	9843	2680
786	9855	2667
787	9866	2654
788	9878	2641
789	9889	2628
790	9900	2616
791	9912	2603
792	9923	2590
793	9935	2577
794	9946	2564
795	9958	2552
796	9969	2539
797	9981	2526
798	9993	2513
799	10003	2500
800	10015	2488
801	10026	2475
802	10037	2462
803	10048	2449
804	10061	2437
805	10072	2424
806	10083	2411
807	10094	2398
808	10106	2386
809	10115	2372
810	10128	2360
811	10138	2347
812	10148	2334
813	10159	2321
814	10171	2308
815	10181	2295
816	10193	2283
817	10204	2270
818	10215	2257
819	10226	2244
820	10237	2231
821	10248	2219
822	10260	2206
823	10272	2194
824	10284	2181
825	10295	2168
826	10307	2156
827	10318	2143
828	10332	2131
829	10344	2118
830	10358	2106
